STATE,TYPE OF PRODUCER,GENERATION(MWH)
AK,"Combined Heat and Power, Commercial Power",350962.0
AK,"Combined Heat and Power, Electric Power",199567.0
AK,"Combined Heat and Power, Industrial Power",111166.0
AK,"Electric Generators, Electric Utilities",5229885.0
AK,"Electric Generators, Independent Power Producers",51947.0
AL,"Combined Heat and Power, Electric Power",4031284.0
AL,"Combined Heat and Power, Industrial Power",4640626.0
AL,"Electric Generators, Electric Utilities",107332202.0
AL,"Electric Generators, Independent Power Producers",26951021.0
AR,"Combined Heat and Power, Commercial Power",62136.0
AR,"Combined Heat and Power, Electric Power",1023489.0
AR,"Combined Heat and Power, Industrial Power",1196173.0
AR,"Electric Generators, Electric Utilities",53337372.0
AR,"Electric Generators, Independent Power Producers",4610967.0
AZ,"Combined Heat and Power, Commercial Power",154108.0
AZ,"Combined Heat and Power, Electric Power",52607.0
AZ,"Electric Generators, Electric Utilities",86348455.0
AZ,"Electric Generators, Independent Power Producers",22053365.0
CA,"Combined Heat and Power, Commercial Power",2400830.0
CA,"Combined Heat and Power, Electric Power",12417290.0
CA,"Combined Heat and Power, Industrial Power",13513448.0
CA,"Electric Generators, Electric Utilities",61737283.0
CA,"Electric Generators, Independent Power Producers",106658255.0
CO,"Combined Heat and Power, Commercial Power",36299.0
CO,"Combined Heat and Power, Electric Power",36629.0
CO,"Combined Heat and Power, Industrial Power",256188.0
CO,"Electric Generators, Electric Utilities",41364397.0
CO,"Electric Generators, Independent Power Producers",15044204.0
CT,"Combined Heat and Power, Commercial Power",316117.0
CT,"Combined Heat and Power, Electric Power",123788.0
CT,"Combined Heat and Power, Industrial Power",612115.0
CT,"Electric Generators, Electric Utilities",94322.0
CT,"Electric Generators, Independent Power Producers",42977227.0
DC,"Combined Heat and Power, Commercial Power",192256.0
DC,"Electric Generators, Independent Power Producers",25982.0
DE,"Combined Heat and Power, Commercial Power",5393.0
DE,"Combined Heat and Power, Electric Power",120682.0
DE,"Combined Heat and Power, Industrial Power",911931.0
DE,"Electric Generators, Electric Utilities",27602.0
DE,"Electric Generators, Independent Power Producers",2974363.0
FL,"Combined Heat and Power, Commercial Power",94938.0
FL,"Combined Heat and Power, Electric Power",1687471.0
FL,"Combined Heat and Power, Industrial Power",4627609.0
FL,"Electric Generators, Electric Utilities",227993630.0
FL,"Electric Generators, Independent Power Producers",9997385.0
GA,"Combined Heat and Power, Commercial Power",4711.0
GA,"Combined Heat and Power, Electric Power",527596.0
GA,"Combined Heat and Power, Industrial Power",5095129.0
GA,"Electric Generators, Electric Utilities",102646392.0
GA,"Electric Generators, Independent Power Producers",18256917.0
HI,"Combined Heat and Power, Commercial Power",364607.0
HI,"Combined Heat and Power, Electric Power",2294287.0
HI,"Combined Heat and Power, Industrial Power",221674.0
HI,"Electric Generators, Electric Utilities",4721460.0
HI,"Electric Generators, Independent Power Producers",1586065.0
IA,"Combined Heat and Power, Commercial Power",142153.0
IA,"Combined Heat and Power, Electric Power",4065.0
IA,"Combined Heat and Power, Industrial Power",2065820.0
IA,"Electric Generators, Electric Utilities",54854479.0
IA,"Electric Generators, Independent Power Producers",9053749.0
ID,"Combined Heat and Power, Commercial Power",68356.0
ID,"Combined Heat and Power, Electric Power",67389.0
ID,"Combined Heat and Power, Industrial Power",549112.0
ID,"Electric Generators, Electric Utilities",10963688.0
ID,"Electric Generators, Independent Power Producers",5300045.0
IL,"Combined Heat and Power, Commercial Power",479423.0
IL,"Combined Heat and Power, Electric Power",678169.0
IL,"Combined Heat and Power, Industrial Power",2604843.0
IL,"Electric Generators, Electric Utilities",4449699.0
IL,"Electric Generators, Independent Power Producers",173647234.0
IN,"Combined Heat and Power, Commercial Power",252338.0
IN,"Combined Heat and Power, Electric Power",7702676.0
IN,"Combined Heat and Power, Industrial Power",4635236.0
IN,"Electric Generators, Electric Utilities",60991576.0
IN,"Electric Generators, Independent Power Producers",20983341.0
KS,"Combined Heat and Power, Commercial Power",14183.0
KS,"Combined Heat and Power, Industrial Power",227115.0
KS,"Electric Generators, Electric Utilities",33280052.0
KS,"Electric Generators, Independent Power Producers",23224603.0
KY,"Combined Heat and Power, Industrial Power",488379.0
KY,"Electric Generators, Electric Utilities",69475329.0
KY,"Electric Generators, Independent Power Producers",590555.0
LA,"Combined Heat and Power, Commercial Power",178332.0
LA,"Combined Heat and Power, Electric Power",2744341.0
LA,"Combined Heat and Power, Industrial Power",27210836.0
LA,"Electric Generators, Electric Utilities",63497633.0
LA,"Electric Generators, Independent Power Producers",4430822.0
MA,"Combined Heat and Power, Commercial Power",615109.0
